

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
093.200  000.026  000.026: require('dapui.elements.console')
093.638  000.049  000.049: require('nvim-navic')
093.730  000.029  000.029: require('dap.log')
093.826  000.043  000.043: require('project_nvim.config')
093.884  000.028  000.028: require('project_nvim.utils.path')
093.889  000.062  000.033: require('project_nvim.utils.history')
093.890  000.128  000.024: require('project_nvim')
093.974  000.032  000.032: require('project_nvim.utils.globtopattern')
094.053  000.031  000.031: require('project_nvim.project')
095.839  000.065  000.065: require('telescope._extensions.projects')
096.003  000.119  000.119: require('fzf_lib')
096.007  000.161  000.041: require('telescope._extensions.fzf')
096.082  026.241  019.028: sourcing /home/jonatas/.config/lvim/plugin/packer_compiled.lua
096.440  000.051  000.051: sourcing /usr/share/nvim/runtime/plugin/man.lua
096.460  001.253: loading rtp plugins
096.961  000.220  000.220: sourcing /home/jonatas/.local/share/lunarvim/site/pack/packer/start/LuaSnip/plugin/luasnip.vim
097.305  000.055  000.055: require('indent_blankline.commands')
097.374  000.249  000.194: sourcing /home/jonatas/.local/share/lunarvim/site/pack/packer/start/indent-blankline.nvim/plugin/indent_blankline.vim
097.502  000.049  000.049: sourcing /home/jonatas/.local/share/lunarvim/site/pack/packer/start/lir.nvim/plugin/lir.vim
097.680  000.047  000.047: sourcing /home/jonatas/.local/share/lunarvim/site/pack/packer/start/nlsp-settings.nvim/plugin/nlspsetting.vim
097.917  000.050  000.050: require('cmp.utils.highlight')
098.248  000.425  000.374: sourcing /home/jonatas/.local/share/lunarvim/site/pack/packer/start/nvim-cmp/plugin/cmp.lua
098.408  000.080  000.080: sourcing /home/jonatas/.local/share/lunarvim/site/pack/packer/start/nvim-dap/plugin/dap.lua
098.556  000.064  000.064: sourcing /home/jonatas/.local/share/lunarvim/site/pack/packer/start/nvim-lspconfig/plugin/lspconfig.lua
099.104  000.463  000.463: sourcing /home/jonatas/.local/share/lunarvim/site/pack/packer/start/nvim-treesitter/plugin/nvim-treesitter.lua
